Driver,LapTime,LapNumber,Compound,TyreLife,Team,Track,Rainfall,TrackTemp,LapTime_sec,LapTime_norm
VER,96.83,8.0,INTERMEDIATE,8.0,Red Bull Racing,Melbourne,0,19.1,96.83,1.712401167798366
VER,94.315,9.0,INTERMEDIATE,9.0,Red Bull Racing,Melbourne,0,19.1,94.315,0.8328905940265324
VER,92.65,10.0,INTERMEDIATE,10.0,Red Bull Racing,Melbourne,0,19.1,92.65,0.25063011477003316
VER,92.453,11.0,INTERMEDIATE,11.0,Red Bull Racing,Melbourne,0,19.1,92.453,0.18173803404118483
VER,91.591,12.0,INTERMEDIATE,12.0,Red Bull Racing,Melbourne,0,19.3,91.591,-0.11970853239671907
VER,91.271,13.0,INTERMEDIATE,13.0,Red Bull Racing,Melbourne,0,19.3,91.271,-0.23161445033190026
VER,90.639,14.0,INTERMEDIATE,14.0,Red Bull Racing,Melbourne,1,19.3,90.639,-0.45262863825388955
VER,90.328,15.0,INTERMEDIATE,15.0,Red Bull Racing,Melbourne,0,19.3,90.328,-0.5613872022471436
VER,90.592,16.0,INTERMEDIATE,16.0,Red Bull Racing,Melbourne,1,19.3,90.592,-0.4690648199506186
VER,93.392,17.0,INTERMEDIATE,17.0,Red Bull Racing,Melbourne,1,19.4,93.392,0.5101119619822366
VER,92.169,18.0,INTERMEDIATE,18.0,Red Bull Racing,Melbourne,1,19.4,92.169,0.0824215318737073
VER,91.939,19.0,INTERMEDIATE,19.0,Red Bull Racing,Melbourne,1,19.4,91.939,0.001989153357792705
VER,91.598,20.0,INTERMEDIATE,20.0,Red Bull Racing,Melbourne,1,19.4,91.598,-0.11726059044188518
VER,91.177,21.0,INTERMEDIATE,21.0,Red Bull Racing,Melbourne,1,19.4,91.177,-0.26448681372535837
VER,91.04,22.0,INTERMEDIATE,22.0,Red Bull Racing,Melbourne,1,19.2,91.04,-0.312396534841359
VER,90.686,23.0,INTERMEDIATE,23.0,Red Bull Racing,Melbourne,1,19.2,90.686,-0.43619245655715555
VER,90.978,24.0,INTERMEDIATE,24.0,Red Bull Racing,Melbourne,0,19.2,90.978,-0.33407830644130493
VER,90.845,25.0,INTERMEDIATE,25.0,Red Bull Racing,Melbourne,0,19.2,90.845,-0.38058920358311404
VER,90.293,26.0,INTERMEDIATE,26.0,Red Bull Racing,Melbourne,1,19.2,90.293,-0.5736269120213031
VER,89.731,27.0,INTERMEDIATE,27.0,Red Bull Racing,Melbourne,0,19.2,89.731,-0.7701616803949733
VER,89.411,28.0,INTERMEDIATE,28.0,Red Bull Racing,Melbourne,0,19.1,89.411,-0.8820675983301546
VER,89.043,29.0,INTERMEDIATE,29.0,Red Bull Racing,Melbourne,0,19.1,89.043,-1.0107594039556138
VER,88.237,30.0,INTERMEDIATE,30.0,Red Bull Racing,Melbourne,0,19.1,88.237,-1.2926224347548616
VER,88.127,31.0,INTERMEDIATE,31.0,Red Bull Racing,Melbourne,0,19.1,88.127,-1.3310900940450807
VER,88.208,32.0,INTERMEDIATE,32.0,Red Bull Racing,Melbourne,0,19.1,88.208,-1.3027639085677363
VER,85.317,42.0,MEDIUM,8.0,Red Bull Racing,Melbourne,0,19.3,85.317,-2.3137639359134123
VER,83.081,43.0,MEDIUM,9.0,Red Bull Racing,Melbourne,0,19.3,83.081,-3.095706537485504
VER,93.864,52.0,INTERMEDIATE,6.0,Red Bull Racing,Melbourne,0,18.7,93.864,0.6751731909366353
VER,90.859,53.0,INTERMEDIATE,7.0,Red Bull Racing,Melbourne,0,18.7,90.859,-0.37569331967345126
VER,89.1,54.0,INTERMEDIATE,8.0,Red Bull Racing,Melbourne,0,18.7,89.1,-0.9908261623234136
VER,88.538,55.0,INTERMEDIATE,9.0,Red Bull Racing,Melbourne,0,18.7,88.538,-1.187360930697079
VER,87.921,56.0,INTERMEDIATE,10.0,Red Bull Racing,Melbourne,0,18.7,87.921,-1.4031295287158512
VER,87.4,57.0,INTERMEDIATE,11.0,Red Bull Racing,Melbourne,0,18.7,87.4,-1.5853263513540723
GAS,98.441,8.0,INTERMEDIATE,8.0,Alpine,Melbourne,0,19.1,98.441,2.275777523403307
GAS,96.062,9.0,INTERMEDIATE,9.0,Alpine,Melbourne,0,19.1,96.062,1.4438269647539252
GAS,95.527,10.0,INTERMEDIATE,10.0,Alpine,Melbourne,0,19.1,95.527,1.2567342582060412
GAS,94.702,11.0,INTERMEDIATE,11.0,Alpine,Melbourne,0,19.1,94.702,0.9682268135293952
GAS,94.227,12.0,INTERMEDIATE,12.0,Alpine,Melbourne,0,19.3,94.227,0.8021164665943591
GAS,93.275,13.0,INTERMEDIATE,13.0,Alpine,Melbourne,0,19.3,93.275,0.46919636073718857
GAS,92.859,14.0,INTERMEDIATE,14.0,Alpine,Melbourne,1,19.3,92.859,0.32371866742144606
GAS,92.744,15.0,INTERMEDIATE,15.0,Alpine,Melbourne,0,19.3,92.744,0.2835024781634913
